sample	sLeX_reachability
GTEX-11EQ8-2626-SM-5N9BO	-0.418533416676688
GTEX-11EQ9-0002-SM-5QGQ1	-0.647402808980289
GTEX-11EQ9-0006-SM-5LUB6	-2.87370744823318
GTEX-11EQ9-0008-SM-5Q5DK	-1.11683635409649
GTEX-11EQ9-0126-SM-5986I	-0.864155572844958
GTEX-11EQ9-0226-SM-5A5JX	-0.0679623232492429
GTEX-11EQ9-0426-SM-5A5JY	-0.70077035504025
GTEX-11EQ9-0526-SM-5A5JZ	-1.16341988390725
GTEX-11EQ9-0626-SM-5A5K1	-0.510696110307106
GTEX-11EQ9-0726-SM-5A5K2	-0.947094163227933
GTEX-11EQ9-0826-SM-5986Y	-0.934582585659114
