sample	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia
GTEX-111YS-2126-SM-5EGGM	-0.0780994122712537	-0.501259139685169	-0.501259139685169	-0.501259139685169
GTEX-111YS-2226-SM-5987P	-0.702997310542828	-0.702997310542828	-0.702997310542828	-0.702997310542828
GTEX-111YS-2326-SM-5987L	-1.33849799515312	-1.38020245163916	-1.38020245163916	-1.38020245163916
GTEX-111YS-2426-SM-5GZZQ	-0.455849264669958	-0.455849264669958	-0.455849264669958	-0.482879159299961
GTEX-1122O-0003-SM-5Q5DL	-0.157508290380764	-0.257878733247424	-0.257878733247424	-0.26832107887169
GTEX-1122O-0005-SM-5O99J	-2.27378037295386	-2.27378037295386	-2.27378037295386	-2.27378037295386
GTEX-1122O-0008-SM-5QGR2	0.418596475363225	0.418596475363225	0.418596475363225	-0.106994820848446
GTEX-1122O-0126-SM-5GICA	-0.810090327214567	-0.810090327214567	-0.810090327214567	-0.810090327214567
GTEX-1122O-0226-SM-5N9DA	-0.364129277915686	-0.615132321149923	-0.615132321149923	-0.615132321149923
GTEX-1122O-0326-SM-5H124	0.0293199809857358	-0.577603081840822	-0.803386627138029	-0.645057480647087
GTEX-1122O-0426-SM-5H12G	-1.00500886423053	-1.00500886423053	-1.00500886423053	-1.00500886423053
GTEX-1122O-0526-SM-5N9DM	-0.764581618608911	-0.764581618608911	-0.764581618608911	-0.764581618608911
GTEX-1122O-0626-SM-5N9B9	-0.824058886338685	-0.824058886338685	-0.824058886338685	-1.03731082361513
GTEX-1122O-0726-SM-5GIEV	-1.24529877443403	-1.87978433818961	-1.87978433818961	-1.87978433818961
GTEX-1122O-0826-SM-5GICV	-1.37031953683293	-1.37031953683293	-1.37031953683293	-2.01551010094905
GTEX-1122O-0926-SM-9YFLC	-0.558703895484641	-0.687186621315952	-0.687186621315952	-1.16878711483779
GTEX-1122O-1026-SM-9WYSF	-0.326906746166602	-1.23019419663232	-1.23019419663232	-1.23019419663232
GTEX-1122O-1126-SM-5NQ8X	-0.0965604152815372	-0.0965604152815372	-0.0965604152815372	-0.249774813422866
GTEX-1122O-1226-SM-5H113	-0.0589160763288184	-0.183592842083728	-0.183592842083728	-0.183592842083728
GTEX-1122O-1326-SM-5H11F	0.586127968659493	-0.422306051432344	-0.422306051432344	-1.05357706480481
GTEX-1122O-1426-SM-5H11R	-0.628754954293211	-0.628754954293211	-0.628754954293211	-0.628754954293211
GTEX-1122O-1526-SM-5N9CL	0.621465753177046	0.561429331016264	0.561429331016264	-1.59121743370234
GTEX-1122O-1626-SM-5N9CX	-0.710976620704852	-0.877033699315538	-0.877033699315538	-0.877033699315538
GTEX-1122O-1726-SM-5GICM	-0.0684846796698614	-0.338014274320079	-0.338014274320079	-1.18646491337675
GTEX-1122O-1826-SM-5EGIP	-0.74174574895547	-0.74174574895547	-0.74174574895547	-0.804602298285474
GTEX-1122O-1926-SM-5EGIQ	-0.189233155203126	-1.34042174856649	-1.34042174856649	-1.39270377459985
GTEX-1122O-2026-SM-9YFMG	-0.3000602853704	-0.370101684752867	-0.370101684752867	-0.665685386354382
GTEX-1122O-2126-SM-5EGIR	-0.196792333486283	-0.857598545770365	-0.857598545770365	-1.51736928068427
GTEX-1122O-2326-SM-9YFL9	-0.83831275384566	-0.83831275384566	-0.83831275384566	-0.83831275384566
GTEX-1122O-2426-SM-5GIDN	-1.38880201192604	-1.38880201192604	-1.38880201192604	-1.38880201192604
GTEX-1128S-0005-SM-5P9HI	-2.07840514268161	-2.07840514268161	-2.07840514268161	-2.44498036707908
GTEX-1128S-0008-SM-5Q5DP	0.192155835059657	0.192155835059657	0.192155835059657	-0.153716034922897
GTEX-1128S-0126-SM-5H12S	-0.161438192563392	-0.228489213486272	-0.228489213486272	-0.228489213486272
GTEX-1128S-0326-SM-5GZZF	-0.355125344569757	-0.355125344569757	-0.355125344569757	-0.355125344569757
GTEX-1128S-0726-SM-5N9D6	0.382643939086901	0.382643939086901	0.382643939086901	-0.486352453851394
GTEX-1128S-0826-SM-5GZZI	-0.720347201873962	-2.14157437075726	-2.14157437075726	-2.14157437075726
GTEX-1128S-0926-SM-5GZZU	0.449546223140096	0.449546223140096	0.449546223140096	0.0378823306315334
GTEX-1128S-1626-SM-5H12O	0.468641649540227	0.468641649540227	0.468641649540227	-0.845011596289968
GTEX-1128S-2126-SM-5H12U	-0.263635798782119	-0.263635798782119	-0.263635798782119	-0.474365501224725
GTEX-1128S-2326-SM-5GZZY	-0.081241141967755	-1.17759217922046	-1.17759217922046	-1.17759217922046
GTEX-1128S-2426-SM-5H11B	-1.9136867868106	-2.18075841697346	-2.18075841697346	-2.18075841697346
GTEX-1128S-2526-SM-5H11N	-0.325511530879362	-0.325511530879362	-0.325511530879362	-0.521979609009322
GTEX-1128S-2626-SM-5H11Z	0.292668665184046	0.292668665184046	-0.0944682315232783	0.065912786122379
GTEX-1128S-2726-SM-5H12C	-1.09392162884641	-1.33603348028835	-1.33603348028835	-1.33603348028835
GTEX-1128S-2826-SM-5N9DI	-0.702178888882587	-1.15278877928764	-1.15278877928764	-1.3527845186642
GTEX-113IC-0006-SM-5NQ9C	-1.44542505043203	-1.44542505043203	-1.44542505043203	-1.44542505043203
GTEX-113IC-0008-SM-5QGRF	0.147129786775106	0.147129786775106	0.147129786775106	0.123129901071867
GTEX-113IC-0126-SM-5HL6T	-0.119877984500076	-0.274477200255899	-0.274477200255899	-0.274477200255899
GTEX-113IC-0226-SM-5HL5C	-0.330101359237659	-0.330101359237659	-0.330101359237659	-0.330101359237659
